tx_type,amount,tx_hour,is_weekend,is_merchant_dest,is_new_beneficiary,structuring_flag,round_amount_flag,layering_score,sender_tx_count_7d,sender_tx_amount_7d,sender_tx_count_24h,unique_receivers_7d,receiver_tx_count_7d,receiver_total_inflow_7d,amount_to_avg_ratio,amount_zscore,rolling_std_7d,rapid_succession_flag,receiver_new_sender_ratio,shared_counterparty_risk,receiver_inflow_concentration,is_fraud
0.0,43385.43,20,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,8379.52,20,0,1,1,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,27591.67,12,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,66809.31,15,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,13841.53,23,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
0.0,77556.98,9,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,98291.99,19,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,220247.95,12,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,5618179.9,14,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1
1.0,42079.09,21,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,1.0,190114.2,1.0,0.0,0.0,0,1.0,0.0,0.0,0
4.0,270097.43,15,0,0,1,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,78090.67,17,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,19315.27,15,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,24097.84,12,0,0,1,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
0.0,201035.74,16,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,30514.82,10,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0
